id,prices,date,market_caps
elrond-erd-2,72.53087160446168,2021-07-14,1409524173.3667498
elrond-erd-2,71.27459859554762,2021-07-15,1383171041.2374992
elrond-erd-2,66.4060517950026,2021-07-16,1287897904.369054
elrond-erd-2,63.12519876873863,2021-07-17,1220036305.4378932
elrond-erd-2,63.010403584096316,2021-07-18,1223904879.6985636
elrond-erd-2,63.788223930293,2021-07-19,1239297132.548996
elrond-erd-2,60.49260849664245,2021-07-20,1176222624.4693756
elrond-erd-2,57.85836725208558,2021-07-21,1123553543.0116158
elrond-erd-2,65.08024306333334,2021-07-22,1261048917.90649
elrond-erd-2,67.21223198035224,2021-07-23,1306319056.9521475
elrond-erd-2,68.01528454584414,2021-07-24,1323472214.819001
elrond-erd-2,70.12871781484085,2021-07-25,1365115466.739346
elrond-erd-2,72.33488652737023,2021-07-26,1407770107.4708922
elrond-erd-2,72.78683475112501,2021-07-27,1417604227.7565415
elrond-erd-2,73.2592161975257,2021-07-28,1425587809.6187356
elrond-erd-2,71.69180819787329,2021-07-29,1397065897.4306424
elrond-erd-2,71.97604649059697,2021-07-30,1404504042.9627545
elrond-erd-2,73.94172346471503,2021-07-31,1441791590.0760396
elrond-erd-2,72.88707523268657,2021-08-01,1425005463.3732724
elrond-erd-2,73.1773319904191,2021-08-02,1427761826.8050873
elrond-erd-2,85.75257607031277,2021-08-03,1672260496.0749254
elrond-erd-2,82.67766188458401,2021-08-04,1617908897.172598
elrond-erd-2,86.54519520679848,2021-08-05,1690555319.6237936
elrond-erd-2,92.02506518874746,2021-08-06,1801525361.2485375
elrond-erd-2,98.6714175812138,2021-08-07,1945398115.9647164
elrond-erd-2,100.22171934979242,2021-08-08,1957029313.4375203
elrond-erd-2,106.89709172246562,2021-08-09,2089697139.5108886
elrond-erd-2,114.09310716930344,2021-08-10,2202237266.420862
elrond-erd-2,119.821574643488,2021-08-11,2336637490.662438
elrond-erd-2,115.43677950982632,2021-08-12,2253525404.251764
elrond-erd-2,114.07876964629396,2021-08-13,2227837370.2102637
elrond-erd-2,117.18552105397372,2021-08-14,2290965425.280072
elrond-erd-2,116.191316691817,2021-08-15,2277554706.8728976
elrond-erd-2,115.35601407670138,2021-08-16,2259421877.7088494
elrond-erd-2,115.48691796477286,2021-08-17,2273830790.7691793
elrond-erd-2,118.20652752966926,2021-08-18,2326889270.228821
elrond-erd-2,126.8300637839805,2021-08-19,2489944327.1475687
elrond-erd-2,124.94182641970384,2021-08-20,2420216707.3157744
elrond-erd-2,132.6467475294573,2021-08-21,2598915104.8631716
elrond-erd-2,127.43065951225638,2021-08-22,2505567225.963626
elrond-erd-2,124.82192911195594,2021-08-23,2445919263.153559
elrond-erd-2,126.93206962167795,2021-08-24,2494137687.1421857
elrond-erd-2,116.92517965286572,2021-08-25,2308097870.8608747
